"id","genre"
32281,"Drama"
32281,"Romance"
32281,"School"
32281,"Supernatural"
5114,"Action"
5114,"Adventure"
5114,"Drama"
5114,"Fantasy"
5114,"Magic"
5114,"Military"
5114,"Shounen"
28977,"Action"
28977,"Comedy"
28977,"Historical"
28977,"Parody"
28977,"Samurai"
28977,"Sci-Fi"
28977,"Shounen"
9253,"Sci-Fi"
9253,"Thriller"
9969,"Action"
9969,"Comedy"
9969,"Historical"
9969,"Parody"
9969,"Samurai"
9969,"Sci-Fi"
9969,"Shounen"
32935,"Comedy"
32935,"Drama"
32935,"School"
32935,"Shounen"
32935,"Sports"
11061,"Action"
11061,"Adventure"
11061,"Shounen"
11061,"Super Power"
820,"Drama"
820,"Military"
820,"Sci-Fi"
820,"Space"
15335,"Action"
15335,"Comedy"
15335,"Historical"
15335,"Parody"
15335,"Samurai"
15335,"Sci-Fi"
15335,"Shounen"
15417,"Action"
15417,"Comedy"
15417,"Historical"
15417,"Parody"
15417,"Samurai"
15417,"Sci-Fi"
15417,"Shounen"
4181,"Drama"
4181,"Fantasy"
4181,"Romance"
4181,"Slice of Life"
4181,"Supernatural"
28851,"Drama"
28851,"School"
28851,"Shounen"
918,"Action"
918,"Comedy"
918,"Historical"
918,"Parody"
918,"Samurai"
918,"Sci-Fi"
918,"Shounen"
2904,"Action"
2904,"Drama"
2904,"Mecha"
2904,"Military"
2904,"Sci-Fi"
2904,"Super Power"
28891,"Comedy"
28891,"Drama"
28891,"School"
28891,"Shounen"
28891,"Sports"
199,"Adventure"
199,"Drama"
199,"Supernatural"
23273,"Drama"
23273,"Music"
23273,"Romance"
23273,"School"
23273,"Shounen"
24701,"Adventure"
24701,"Fantasy"
24701,"Historical"
24701,"Mystery"
24701,"Seinen"
24701,"Slice of Life"
24701,"Supernatural"
12355,"Fantasy"
12355,"Slice of Life"
1575,"Action"
1575,"Mecha"
1575,"Military"
1575,"School"
1575,"Sci-Fi"
1575,"Super Power"
263,"Comedy"
263,"Drama"
263,"Shounen"
263,"Sports"
44,"Action"
44,"Drama"
44,"Historical"
44,"Martial Arts"
44,"Romance"
44,"Samurai"
1,"Action"
1,"Adventure"
1,"Comedy"
1,"Drama"
1,"Sci-Fi"
1,"Space"
30276,"Action"
30276,"Comedy"
30276,"Parody"
30276,"Sci-Fi"
30276,"Seinen"
30276,"Super Power"
30276,"Supernatural"
164,"Action"
164,"Adventure"
164,"Fantasy"
7311,"Comedy"
7311,"Mystery"
7311,"Romance"
7311,"School"
7311,"Sci-Fi"
7311,"Supernatural"
17074,"Comedy"
17074,"Mystery"
17074,"Romance"
17074,"Supernatural"
17074,"Vampire"
21939,"Adventure"
21939,"Fantasy"
21939,"Historical"
21939,"Mystery"
21939,"Seinen"
21939,"Slice of Life"
21939,"Supernatural"
457,"Adventure"
457,"Fantasy"
457,"Historical"
457,"Mystery"
457,"Seinen"
457,"Slice of Life"
457,"Supernatural"
2001,"Action"
2001,"Adventure"
2001,"Comedy"
2001,"Mecha"
2001,"Sci-Fi"
245,"Comedy"
245,"Drama"
245,"School"
245,"Shounen"
245,"Slice of Life"
32983,"Drama"
32983,"Fantasy"
32983,"Shoujo"
32983,"Slice of Life"
32983,"Supernatural"
5258,"Comedy"
5258,"Drama"
5258,"Shounen"
5258,"Sports"
28957,"Adventure"
28957,"Fantasy"
28957,"Historical"
28957,"Mystery"
28957,"Seinen"
28957,"Slice of Life"
28957,"Supernatural"
11665,"Drama"
11665,"Fantasy"
11665,"Shoujo"
11665,"Slice of Life"
11665,"Supernatural"
431,"Adventure"
431,"Drama"
431,"Fantasy"
431,"Romance"
11741,"Action"
11741,"Fantasy"
11741,"Supernatural"
11741,"Thriller"
31757,"Action"
31757,"Mystery"
31757,"Supernatural"
31757,"Vampire"
19,"Drama"
19,"Horror"
19,"Mystery"
19,"Police"
19,"Psychological"
19,"Seinen"
19,"Thriller"
12365,"Comedy"
12365,"Drama"
12365,"Romance"
12365,"Shounen"
1535,"Mystery"
1535,"Police"
1535,"Psychological"
1535,"Supernatural"
1535,"Thriller"
32366,"Comedy"
32366,"Parody"
30654,"Action"
30654,"Comedy"
30654,"School"
30654,"Shounen"
20583,"Comedy"
20583,"Drama"
20583,"School"
20583,"Shounen"
20583,"Sports"
19647,"Comedy"
19647,"Drama"
19647,"Shounen"
19647,"Sports"
4282,"Action"
4282,"Drama"
4282,"Mystery"
4282,"Romance"
4282,"Supernatural"
4282,"Thriller"
10379,"Drama"
10379,"Fantasy"
10379,"Shoujo"
10379,"Slice of Life"
10379,"Supernatural"
22135,"Psychological"
22135,"Seinen"
